Date,Open,High,Low,Close,Adj Close,Volume
2020-01-08,209.000000,209.000000,194.339996,199.339996,199.339996,107424
2020-01-09,199.000000,200.990005,193.800003,195.199997,195.199997,66130
2020-01-10,195.199997,199.089996,195.199997,196.039993,196.039993,41818
2020-01-13,196.899994,200.000000,196.899994,198.309998,198.309998,41466
2020-01-14,199.000000,200.000000,199.000000,199.699997,199.699997,28501
2020-01-15,199.949997,199.949997,197.000000,198.779999,198.779999,38774
2020-01-16,198.779999,199.949997,196.000000,198.000000,198.000000,31279
2020-01-17,197.990005,197.990005,195.550003,195.889999,195.889999,30687
2020-01-20,195.889999,197.750000,190.000000,190.199997,190.199997,42487
2020-01-21,190.199997,191.000000,181.479996,189.000000,189.000000,61527
2020-01-22,189.000000,189.899994,185.100006,185.110001,185.110001,42040
2020-01-23,185.110001,186.000000,182.199997,184.000000,184.000000,33871
2020-01-24,184.050003,186.000000,182.000000,182.000000,182.000000,38314
2020-01-27,182.000000,182.990005,179.880005,180.399994,180.399994,40310
2020-01-28,180.500000,185.949997,180.399994,183.300003,183.300003,30719
2020-01-29,183.990005,190.000000,183.990005,190.000000,190.000000,35756
2020-01-30,190.000000,190.000000,186.169998,189.179993,189.179993,30063
2020-01-31,189.369995,194.910004,189.229996,191.500000,191.500000,38459
2020-02-03,196.770004,196.990005,191.500000,191.699997,191.699997,47711
2020-02-04,191.979996,194.289993,187.000000,187.020004,187.020004,55213
2020-02-05,187.699997,188.000000,185.000000,186.160004,186.160004,44289
2020-02-06,187.309998,189.880005,178.500000,181.000000,181.000000,50777
2020-02-07,181.100006,182.899994,180.589996,181.350006,181.350006,35351
2020-02-10,182.880005,183.429993,179.000000,179.000000,179.000000,32315
2020-02-11,179.509995,183.369995,179.509995,182.589996,182.589996,28829
2020-02-12,182.589996,186.720001,182.589996,186.000000,186.000000,26536
2020-02-13,185.000000,186.899994,184.720001,185.970001,185.970001,22038
2020-02-14,186.000000,188.570007,186.000000,188.570007,188.570007,21183
2020-02-17,188.570007,189.789993,187.000000,188.750000,188.750000,27004
2020-02-18,189.360001,189.750000,186.000000,186.259995,186.259995,26640
2020-02-19,187.320007,187.320007,177.729996,181.000000,181.000000,29585
2020-02-20,180.990005,180.990005,178.389999,179.000000,179.000000,36178
2020-02-21,179.000000,179.899994,178.020004,178.500000,178.500000,34526
2020-02-26,null,null,null,null,null,null
2020-02-27,177.850006,178.960007,176.110001,178.210007,178.210007,25595
2020-02-28,178.210007,179.600006,175.300003,177.039993,177.039993,34825
2020-03-02,177.970001,179.899994,174.649994,178.309998,178.309998,38446
2020-03-03,178.309998,182.500000,178.309998,179.350006,179.350006,28997
2020-03-04,179.470001,182.899994,179.470001,182.449997,182.449997,21616
2020-03-05,182.500000,182.880005,180.500000,180.500000,180.500000,23834
2020-03-06,180.509995,181.190002,175.500000,178.039993,178.039993,34765
2020-03-09,176.710007,176.710007,161.000000,168.449997,168.449997,58174
2020-03-10,169.000000,175.339996,168.699997,169.919998,169.919998,47167
2020-03-11,170.000000,172.949997,164.000000,167.500000,167.500000,33405
2020-03-12,164.000000,164.970001,150.000000,154.100006,154.100006,106237
2020-03-13,154.100006,162.199997,151.199997,155.770004,155.770004,85870
