"Recorded Crime Offences under Reservation  (Number) by Quarter, Garda"
"Division and Type of Offence"

" "," ","01 ,Homicide offences","0111 ,Murder","0112 ,Manslaughter","0113 ,Infanticide","012 ,Dangerous driving leading to death","02 ,Sexual offences","021 ,Rape and sexual assault","022 ,Other sexual offences","03 ,Attempts/threats to murder, assaults, harassments and related offences","0311 ,Murder-attempt","0312 ,Murder-threat","033 ,Harassment and related offences","034 ,Assault causing harm, poisoning","035 ,Other assault","04 ,Dangerous or negligent acts","0411 ,Dangerous driving causing serious bodily harm","0412 ,Driving/in charge of a vehicle while over legal alcohol limit","0413 ,Driving/in charge of a vehicle under the influence of drugs","0421 ,Endangerment with potential for serious harm/death","0422 ,Abandoning a child, child neglect and cruelty","0423 ,Unseaworthy/dangerous use of boat or ship","0424 ,False alarm/interference with aircraft or air transport facilities","0425 ,Endangering traffic offences","05 ,Kidnapping and related offences","0511 ,False imprisonment","0512 ,Abduction of person under 16 years of age","0513 ,Human trafficking offences","06 ,Robbery, extortion and hijacking offences","0611 ,Robbery of an establishment or institution","0612 ,Robbery of cash or goods in transit","0613 ,Robbery from the person","0621 ,Blackmail or extortion","0631 ,Carjacking, hijacking/unlawful seizure of aircraft/vessel","07 ,Burglary and related offences","0711 ,Aggravated burglary","0712 ,Burglary (not aggravated)","0713 ,Possession of an article (with intent to burgle, steal, demand)","08 ,Theft and related offences","081 ,Theft/taking of vehicle and related offences","0821 ,Theft from person","0822 ,Theft from shop","084 ,Other thefts, handling stolen property","09 ,Fraud, deception and related offences","10 ,Controlled drug offences","1011 ,Importation of drugs","1012 ,Cultivation or manufacture of drugs","1021 ,Possession of drugs for sale or supply","1022 ,Possession of drugs for personal use","103 ,Other drug offences","11 ,Weapons and Explosives Offences","111 ,Explosives, chemical weapons offences","1121 ,Discharging a firearm","1122 ,Possession of a firearm","113 ,Offensive weapons offences (n.e.c.)","114 ,Fireworks offences","12 ,Damage to property and to the environment","1211 ,Arson","1212 ,Criminal damage (not arson)","1221 ,Litter offences","13 ,Public order and other social code offences","131 ,Disorderly conduct","132 ,Trespass offences","133 ,Liquor licensing offences","134 ,Prostitution offences","135 ,Regulated betting/money, collection/trading offences","136 ,Social code offences (n.e.c.)","15 ,Offences against government, justice procedures and organisation of crime","151 ,Offences against government and its agents","152 ,Organisation of crime and conspiracy to commit crime","153 ,Perverting the course of justice","157 ,Offences while in custody, breach of court orders"
" ","33 ,Cork West Garda Division",0,0,0,0,0,6,5,1,75,0,0,6,23,46,86,0,86,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,50,1,49,0,160,17,8,10,125,7,81,0,2,11,65,3,5,0,1,0,4,0,97,6,91,0,215,176,1,37,0,0,1,11,0,0,0,11
" ","34 ,Kerry Garda Division",0,0,0,0,0,9,9,0,101,0,0,10,30,61,118,0,113,0,0,2,0,0,3,0,0,0,0,7,1,0,6,0,0,84,0,84,0,297,22,27,80,168,15,50,0,0,14,32,4,4,0,0,1,3,0,122,5,116,1,507,389,4,114,0,0,0,28,2,0,0,26
" ","35 ,Limerick Garda Division",1,1,0,0,0,19,17,2,193,0,8,22,45,118,122,0,117,0,1,4,0,0,0,1,1,0,0,23,11,0,12,0,0,253,1,250,2,1008,236,94,181,497,37,114,0,0,30,81,3,48,2,10,7,29,0,532,40,492,0,419,362,9,40,0,1,7,67,5,0,3,59
" ","41 ,Laois/Offaly Garda Division",1,1,0,0,0,10,10,0,116,0,0,11,22,83,89,0,85,0,0,3,0,0,1,0,0,0,0,8,6,0,2,0,0,166,1,164,1,326,33,11,56,226,11,63,0,0,21,37,5,7,0,0,1,6,0,144,1,143,0,265,149,4,109,0,2,1,24,0,0,1,23
" ","42 ,Meath  Garda Division",0,0,0,0,0,8,7,1,65,0,0,4,15,46,81,0,78,0,1,0,0,0,2,0,0,0,0,12,9,1,0,1,1,198,1,196,1,308,61,11,45,191,10,28,0,0,8,20,0,8,1,1,1,5,0,135,6,128,1,91,73,1,12,0,0,5,32,0,0,0,32
" ","43 ,Wicklow  Garda Division",2,0,0,0,2,19,19,0,73,0,0,2,26,45,84,0,80,0,1,2,0,0,1,2,0,2,0,7,3,1,2,0,1,265,7,257,1,539,86,21,76,356,18,71,0,0,21,48,2,8,0,0,3,5,0,225,8,216,1,252,234,9,4,0,2,3,34,0,0,0,34
" ","44 ,Westmeath  Garda Division",0,0,0,0,0,4,4,0,74,0,0,9,26,39,59,0,55,1,0,1,0,0,2,0,0,0,0,6,4,1,1,0,0,112,0,111,1,363,37,20,93,213,3,26,0,0,8,17,1,4,0,0,2,2,0,181,4,176,1,280,191,4,83,0,0,2,20,0,0,1,19
" ","45 ,Kildare  Garda Division",0,0,0,0,0,16,16,0,154,0,0,8,44,102,139,0,133,0,0,3,0,0,3,0,0,0,0,22,14,1,7,0,0,261,1,258,2,590,103,35,87,365,35,116,1,0,22,92,1,11,0,0,3,8,0,275,9,265,1,527,480,11,27,0,1,8,40,1,1,0,38
" ","51 ,Tipperary Garda Division",0,0,0,0,0,12,11,1,91,0,0,11,23,57,96,1,92,0,1,2,0,0,0,2,2,0,0,4,2,0,2,0,0,154,0,153,1,303,69,17,46,171,20,107,0,1,24,79,3,18,0,3,4,11,0,213,3,210,0,258,231,4,22,0,0,1,20,1,0,0,19
" ","52 ,Wexford  Garda Division",0,0,0,0,0,10,9,1,95,0,0,14,25,56,104,0,98,0,0,5,0,0,1,0,0,0,0,2,0,0,2,0,0,225,4,220,1,350,40,15,89,206,20,39,0,1,7,28,3,5,0,0,2,3,0,139,5,134,0,241,207,8,22,1,0,3,43,0,0,1,42
